result,backtest_result,oof_conf_score,profit_objects,oof_conf_obj_num,scores
4.136159336247658,7.86,0.526228923186725,2352,44836,"[-5550.0000000000155, -14900.000000000004, 6850.000000000033, -2850.0000000000155, 21000.000000000033, 29750.000000000022, 37000.000000000015, 33199.999999999985, 25350.000000000033, 26599.99999999999, 33350.000000000015, 28199.999999999978, 27000.000000000007, 28849.999999999993, 22549.999999999996, 28800.00000000002, -6549.999999999987, 5550.0, 1500.0000000000057, 22799.999999999985, 6399.999999999998, 299.9999999999897, -10849.999999999993, 4000.0000000000114]"
4.144676065263025,105.88,0.6783216783216783,102,286,"[-3000.0, -1349.9999999999998, 8099.999999999998, 1549.9999999999993, 100.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
72.87487058823528,110.22,0.6611764705882353,137,425,"[550.0, 149.99999999999994, 6350.0, 599.9999999999994, 50.00000000000002, 2900.0, 150.0, -50.00000000000002, -250.0, 850.0, 100.0, 200.0, -0.0, -0.0, -0.0, -0.0, 49.999999999999986, -0.0, 49.999999999999986, -50.0, -0.0, -50.0, -0.0, -0.0]"
65.23430643699002,106.44,0.6128739800543971,249,1103,"[2550.000000000002, 2200.0000000000005, 7150.0, 8849.999999999998, -3600.0, 5050.000000000001, 49.999999999999986, 3200.000000000001, 0.0, 2100.0, 0.0, 450.0, 50.0, -0.0, -0.0, -0.0, 100.0, -0.0, -50.0, -49.999999999999986, 0.0, -250.0, -0.0, 0.0]"
29.12950834220802,58.55,0.4975150869719559,-28,5634,"[-13100.0, 300.0000000000009, 700.0000000000057, 150.00000000000048, -12899.999999999996, 8099.999999999995, 11600.000000000004, 11699.999999999995, 20300.000000000004, 12100.000000000004, 5099.999999999999, 6050.000000000003, 250.00000000000006, 300.0, -3149.9999999999995, -849.9999999999997, -4500.0, 699.9999999999991, 1199.9999999999986, 4049.999999999999, 400.0, 1100.0000000000014, -300.0, -1100.0000000000005]"
0.0,0.0,0.0,0,0,"[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
41.59539847729638,76.53,0.5435175549104453,1589,18257,"[1099.9999999999993, 5749.999999999993, 2699.9999999999914, 850.0000000000078, 17100.00000000001, 28250.00000000001, 36850.000000000015, 17899.999999999993, 21349.99999999999, 27099.99999999999, 26199.999999999993, 24650.0, 13499.999999999995, 3899.999999999999, 1150.0000000000039, 1399.999999999997, -400.0000000000048, -299.9999999999992, 8249.999999999995, 9250.000000000004, 3599.9999999999977, 6599.999999999995, 150.00000000000077, 400.0000000000005]"
43.49677152317881,85.95,0.5060706401766004,22,1812,"[-3950.0000000000014, -1299.9999999999995, 5249.999999999996, 4849.999999999997, -2249.9999999999995, 5500.000000000001, 1100.0, 3149.9999999999995, -150.00000000000006, 2900.0, 50.00000000000002, 850.0, 100.0, -0.0, 0.0, 100.0, -750.0, 99.99999999999996, 99.99999999999997, -49.999999999999986, -50.00000000000002, 49.99999999999994, -0.0, -0.0]"
0.0,0.0,0.0,0,0,"[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]"
20.121139430284856,38.4,0.5239880059970015,640,13340,"[1399.9999999999836, 8900.000000000007, 13699.999999999996, 2499.999999999999, 8649.999999999995, 21150.000000000007, 27549.999999999993, 17850.000000000007, 27650.00000000001, 17749.999999999993, 10700.0, 8300.000000000004, -699.9999999999995, -299.99999999999903, -11700.0, -10450.000000000002, -10750.000000000004, 1400.0000000000011, 1650.0000000000011, 7000.0, 299.99999999999886, 849.9999999999994, -2200.0000000000005, -3150.0000000000005]"
