,Feature,rank
176,linear_reg_angle_prev_20,998.0
177,macdsignal_dir_prev_48,999.0
178,volume,999.0
179,stoch_slowd_dir_prev_172,999.0
180,macd_dir_prev_16,999.0
181,linear_reg_prev_92,1003.0
182,macdsignal_prev_184,1004.0
183,linear_reg_prev_112,1006.5
184,linear_reg_prev_144,1007.0
185,macd_dir_prev_124,1019.0
186,rsi_prev_16,1025.0
187,stoch_slowk_prev_12,1031.0
188,rsi_prev_160,1031.5
189,linear_reg_prev_156,1032.0
190,linear_reg_prev_152,1034.0
191,stoch_diff_prev_188,1036.0
192,stoch_slowd_dir_prev_96,1037.0
193,stoch_slowk_dir_prev_12,1040.0
194,volume_prev_100,1041.5
195,stoch_diff_prev_140,1043.0
196,macdhist_prev_148,1045.0
197,macdhist_prev_16,1050.5
198,linear_reg_prev_160,1052.5
199,stoch_slowd_prev_100,1057.5
200,stoch_slowd_dir_prev_132,1058.0
201,stoch_diff_prev_112,1060.0
202,macdsignal_dir_prev_148,1061.0
203,macdsignal_dir_prev_136,1061.0
204,macdsignal_prev_72,1066.0
205,macdsignal_prev_92,1072.0
206,stoch_diff_prev_144,1075.0
207,stoch_slowd_prev_12,1075.0
208,stoch_slowk_prev_16,1079.5
209,macdsignal_prev_60,1088.0
210,rsi_prev_56,1094.0
211,macdsignal_prev_192,1104.0
212,macd_prev_100,1110.0
213,volume_prev_120,1115.0
214,stoch_slowk_prev_8,1123.5
215,volume_prev_80,1126.0
216,macdhist_prev_136,1126.5
217,stoch_diff_prev_44,1127.0
218,macd_dir_prev_152,1128.0
219,stoch_diff_prev_68,1133.0
220,macd_prev_136,1133.0
221,linear_reg_prev_52,1134.0
222,stoch_slowd_dir_prev_88,1137.5
223,linear_reg_prev_184,1140.0
224,linear_reg_prev_80,1140.0
225,macd_dir_prev_164,1141.0
226,stoch_slowd_prev_140,1145.0
227,stoch_slowk_prev_124,1155.0
228,macd_prev_40,1158.0
229,stoch_slowd_dir_prev_160,1160.5
230,linear_reg_prev_164,1161.0
231,linear_reg_angle_prev_160,1161.0
232,volume_prev_136,1167.0
233,linear_reg_prev_108,1171.0
234,stoch_diff_prev_12,1173.0
235,rsi_prev_40,1180.0
236,volume_prev_164,1182.0
237,stoch_diff_prev_84,1185.0
238,stoch_slowk_prev_48,1187.0
239,macdhist_prev_56,1187.0
240,stoch_slowk_prev_28,1190.0
241,macdsignal_dir_prev_172,1191.0
242,rsi_prev_80,1193.0
243,stoch_slowk_dir_prev_36,1194.0
244,macdhist_prev_120,1195.5
245,rsi_prev_4,1203.5
246,stoch_slowd_prev_152,1211.0
247,linear_reg_angle_prev_56,1211.0
248,macd_dir_prev_176,1211.0
249,stoch_slowd_prev_116,1211.0
250,stoch_slowd_prev_108,1213.0
251,volume_prev_184,1213.5
252,macdsignal_prev_88,1214.5
253,volume_prev_168,1216.5
254,macd_prev_144,1216.5
255,macdhist_prev_152,1217.5
256,stoch_slowd_dir_prev_176,1224.0
257,macdsignal_prev_100,1225.0
258,macd_prev_108,1229.5
259,macdhist_prev_96,1240.5
260,macd_dir_prev_32,1241.5
261,stoch_diff_prev_32,1245.0
262,linear_reg_prev_4,1247.0
263,linear_reg_prev_120,1249.5
264,rsi_prev_32,1252.0
265,atr,1252.0
266,linear_reg_angle_prev_176,1253.0
267,macd_prev_80,1253.5
268,macdsignal_prev_104,1256.5
269,volume_prev_72,1257.0
270,volume_prev_60,1260.0
271,linear_reg_prev_28,1262.5
272,linear_reg_angle_prev_24,1263.5
273,rsi_prev_108,1265.0
274,stoch_diff_prev_48,1265.0
275,macdhist,1265.0
276,stoch_slowk_dir_prev_56,1265.5
277,linear_reg_angle_prev_4,1265.5
278,stoch_slowk_prev_120,1266.0
279,macd_dir_prev_104,1267.0
280,macdsignal_dir_prev_188,1268.0
281,linear_reg_prev_180,1271.5
282,macdsignal_prev_128,1274.0
283,stoch_slowk_dir_prev_160,1276.5
284,linear_reg_angle_prev_88,1278.0
285,volume_prev_148,1279.0
286,stoch_slowk_prev_108,1280.0
287,stoch_slowk_dir_prev_108,1284.5
288,volume_prev_28,1286.0
289,stoch_slowk_prev_32,1289.0
290,linear_reg_prev_176,1290.0
291,stoch_diff_prev_156,1290.0
292,atr_prev_4,1290.5
293,volume_prev_32,1291.0
294,linear_reg_prev_12,1292.0
295,linear_reg_angle_prev_172,1295.0
296,macdsignal_dir_prev_12,1296.0
297,volume_prev_12,1297.0
298,volume_prev_156,1300.5
299,stoch_slowk_dir_prev_8,1302.0
300,rsi_prev_88,1303.0
301,macd_dir_prev_56,1306.0
302,macd_prev_60,1312.0
303,linear_reg_angle_prev_148,1315.0
304,macdsignal_dir_prev_88,1315.0
305,macd_prev_116,1316.0
306,macdsignal_prev_168,1317.0
307,macdsignal_prev_12,1320.0
308,volume_prev_128,1320.0
309,macdsignal_prev_40,1320.5
310,stoch_slowd_dir_prev_32,1329.0
311,stoch_slowd_prev_68,1330.0
312,stoch_slowk_prev_96,1331.0
313,macd_prev_16,1332.5
314,stoch_slowd_dir_prev_124,1334.0
315,rsi_prev_96,1337.0
316,linear_reg_angle_prev_16,1339.0
317,macdsignal_prev_8,1341.5
318,volume_prev_4,1344.0
319,macd_dir_prev_76,1345.0
320,macd_prev_72,1345.5
321,linear_reg_angle_prev_60,1346.0
322,macd_prev_112,1349.5
323,stoch_slowd_dir_prev_140,1357.0
324,macdhist_prev_156,1359.0
325,volume_prev_192,1359.5
326,stoch_slowd_dir_prev_192,1360.0
327,macdhist_prev_8,1363.0
328,stoch_diff_prev_104,1364.0
329,linear_reg_angle_prev_12,1364.5
330,linear_reg_prev_116,1372.5
331,macd_dir_prev_128,1373.5
332,macdsignal_dir_prev_160,1374.0
333,macdsignal_dir_prev_8,1375.5
334,atr_prev_112,1375.5
335,linear_reg_angle_prev_72,1383.5
336,macdhist_prev_92,1384.0
337,atr_prev_144,1387.5
338,stoch_slowk_prev_144,1388.0
339,stoch_slowk_prev_92,1389.0
340,macdsignal_prev_24,1392.0
341,atr_prev_48,1392.0
342,stoch_slowk_prev_4,1392.0
343,macd_prev_28,1394.5
344,stoch_diff_prev_4,1397.0
345,stoch_slowk_prev_188,1398.0
346,macdhist_prev_172,1401.0
347,macdsignal_dir_prev_44,1402.0
348,macd_prev_104,1402.5
349,macdsignal_dir_prev_124,1406.0
350,macdsignal_prev_76,1406.5
351,macd_prev_132,1408.5
352,rsi_prev_120,1408.5
353,macdsignal_prev_48,1412.0
354,linear_reg_prev_8,1418.5
355,macd_dir_prev_156,1418.5
356,volume_prev_108,1421.5
357,atr_prev_132,1423.5
358,linear_reg_prev_124,1426.5
359,stoch_slowk_prev_24,1428.0
360,macdsignal_dir_prev_72,1429.0
361,stoch_slowk_prev_136,1429.5
362,atr_prev_184,1429.5
363,stoch_diff_prev_152,1430.0
364,linear_reg_prev_16,1430.5
365,rsi_prev_12,1431.5
366,macdsignal_prev_136,1433.5
367,macdsignal_prev_28,1434.5
