,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_feature_num,params_high_bound,params_is_unbalance,params_learning_rate,params_max_bin,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state,n_estimators
162,162,465.0,2024-01-25 23:33:48.695745,2024-01-25 23:34:23.433969,0 days 00:00:34.738224,dart,0.7812306467165752,60,0.507860997118147,False,0.0006112555062842413,115,5,2692,111,7.85425612329255e-08,0.0008491295792451898,0.3122254069449,COMPLETE,0.0
482,482,465.0,2024-01-26 02:31:51.039150,2024-01-26 02:32:26.686667,0 days 00:00:35.647517,dart,0.7437249002710735,58,0.5000686859318264,False,0.0012058076344520986,167,5,2523,128,6.597774158009706e-08,2.0069663042897964e-05,0.3214699397593796,COMPLETE,0.0
170,170,465.0,2024-01-25 23:38:56.381140,2024-01-25 23:39:39.807615,0 days 00:00:43.426475,dart,0.7595464426389501,50,0.5000098199547492,False,0.0017865829436808911,119,6,2848,107,1.1157854252549587e-07,0.0033943971383974905,0.311336004002132,COMPLETE,0.0
332,332,464.0,2024-01-26 01:18:50.780185,2024-01-26 01:19:23.862484,0 days 00:00:33.082299,dart,0.43526008528813126,50,0.5006010163870779,False,0.002210786055684473,110,5,2693,19,0.00012674135103151742,2.9336130768861347e-06,0.32233858232487955,COMPLETE,0.0
276,276,464.0,2024-01-26 00:42:42.402829,2024-01-26 00:43:17.507762,0 days 00:00:35.104933,dart,0.4201216966721103,57,0.5002190640576586,False,0.0015515050595015468,126,5,2784,128,3.079256597481589e-08,2.9107352254543318e-05,0.3007071335517134,COMPLETE,0.0
211,211,464.0,2024-01-26 00:05:06.792122,2024-01-26 00:05:40.506074,0 days 00:00:33.713952,dart,0.7647724528899039,50,0.5071527878725922,False,0.0015169150396261342,129,5,2629,128,4.896869666610559e-08,3.1143434626310266e-05,0.31339062237439674,COMPLETE,0.0
359,359,463.0,2024-01-26 01:25:51.096227,2024-01-26 01:26:42.253480,0 days 00:00:51.157253,dart,0.7903825220753508,50,0.5000718914823767,False,0.001947253622911684,122,7,2657,112,0.00022198131924631062,0.001398872226311781,0.4443227499517446,COMPLETE,0.0
415,415,463.0,2024-01-26 02:00:18.340004,2024-01-26 02:00:29.081445,0 days 00:00:10.741441,dart,0.7424252545908395,58,0.5001926245198854,False,0.001546597845953873,118,5,961,124,1.2205521896302814e-07,0.0002120503293117937,0.330341804085415,COMPLETE,0.0
377,377,463.0,2024-01-26 01:37:10.720718,2024-01-26 01:37:46.904406,0 days 00:00:36.183688,dart,0.7907113153389398,59,0.5000581186593608,False,0.0014350404666680083,161,5,2764,112,2.78809786136546e-07,6.939127339009231e-06,0.30051427376487433,COMPLETE,0.0
472,472,462.0,2024-01-26 02:25:30.168742,2024-01-26 02:26:05.259948,0 days 00:00:35.091206,dart,0.737560794039307,67,0.5000635844937288,False,0.001783193589079548,164,5,2681,122,7.583938486766598e-08,1.3496862317268005e-05,0.33701245636424254,COMPLETE,0.0
495,495,462.0,2024-01-26 02:39:22.742410,2024-01-26 02:39:38.837239,0 days 00:00:16.094829,dart,0.7479580223280983,50,0.5065542398903805,False,0.0009797449709380188,172,4,1578,121,5.687517425581782e-08,0.003024066703774955,0.3203816627602315,COMPLETE,0.0
219,219,461.0,2024-01-26 00:09:37.950540,2024-01-26 00:10:13.593564,0 days 00:00:35.643024,dart,0.7875893874145078,69,0.5000858174745355,False,0.001371901832465856,131,5,2706,123,4.558298561563475e-08,1.4426900069832922e-05,0.34740357798113536,COMPLETE,0.0
265,265,461.0,2024-01-26 00:37:04.129930,2024-01-26 00:37:40.534062,0 days 00:00:36.404132,dart,0.7814551511687488,50,0.5002899615484477,False,0.001700733748133268,52,5,2844,121,0.0010257317802687346,0.00019018421241438372,0.3162609496500131,COMPLETE,0.0
191,191,461.0,2024-01-25 23:52:48.819611,2024-01-25 23:53:32.398461,0 days 00:00:43.578850,dart,0.7377135013897469,59,0.5000485970026858,False,0.0011508558670951649,127,6,2697,114,3.292152493863632e-07,0.000489246825316386,0.353845546312171,COMPLETE,0.0
