run_datetime,params,high_bound,features,n_confident_objects,n_profitable_objects,scores
2026-06-12T18:39,"{""boosting_type"": ""dart"", ""class_weight"": ""balanced"", ""colsample_bytree"": 0.887251061084062, ""is_unbalance"": true, ""learning_rate"": 0.1969438727735549, ""max_bin"": 169, ""max_depth"": 4, ""n_estimators"": 2445, ""num_leaves"": 255, ""reg_alpha"": 0.1561946763791145, ""reg_lambda"": 0.0236339717019237, ""subsample"": 0.7463830288952731, ""objective"": ""binary"", ""verbosity"": -1, ""subsample_freq"": 1, ""importance_type"": ""gain"", ""metric"": ""average_precison""}",0.5253338458643013,"[""funding_rate"", ""weekday"", ""btcdom_high"", ""atr"", ""open"", ""high"", ""btcdom_volume"", ""rsi"", ""low"", ""close"", ""cci"", ""macdhist_prev_4"", ""btcdom_volume_prev_4"", ""low_prev_4"", ""btcd_volume_prev_24"", ""btcdom_volume_prev_24"", ""btcdom_volume_prev_28"", ""btcdom_volume_prev_32"", ""btcdom_volume_prev_36"", ""stoch_diff_prev_36"", ""btcdom_volume_prev_40"", ""btcdom_volume_prev_44"", ""close_prev_44"", ""cci_prev_56"", ""low_prev_56"", ""btcdom_volume_prev_68"", ""fng_value_prev_72"", ""btcd_volume_prev_72"", ""btcdom_volume_prev_72"", ""stoch_diff_prev_72"", ""btcdom_volume_prev_80"", ""btcdom_volume_prev_84"", ""cci_prev_84"", ""close_prev_88"", ""btcdom_volume_prev_92"", ""fng_value_prev_120"", ""stoch_slowd_prev_128"", ""btcdom_volume_prev_132"", ""btcdom_volume_prev_136"", ""btcdom_volume_prev_148"", ""rsi_prev_148"", ""btcdom_volume_prev_164"", ""fng_value_prev_168"", ""btcdom_volume_prev_188"", ""btcdom_volume_prev_192"", ""btcdom_volume_prev_196"", ""btcdom_volume_prev_208"", ""stoch_diff_prev_212"", ""btcd_volume_prev_216"", ""btcdom_volume_prev_216"", ""stoch_slowd_prev_224"", ""stoch_diff_prev_232"", ""fng_value_prev_240"", ""btcd_high_prev_240"", ""btcdom_volume_prev_244"", ""btcdom_volume_prev_256"", ""rsi_prev_256"", ""btcdom_volume_prev_272""]",6531,1595,"[26500.00000000001, 25500.000000000004, 10199.999999999996, 7200.000000000003, 10350.000000000004]"
2026-06-13T12:09,"{""boosting_type"": ""dart"", ""class_weight"": ""balanced"", ""colsample_bytree"": 0.8394998594626718, ""is_unbalance"": true, ""learning_rate"": 0.1654394619617755, ""max_bin"": 167, ""max_depth"": 4, ""n_estimators"": 2518, ""num_leaves"": 248, ""reg_alpha"": 0.8032956889314465, ""reg_lambda"": 0.0008267673567104, ""subsample"": 0.773102643411765, ""objective"": ""binary"", ""verbosity"": -1, ""subsample_freq"": 1, ""importance_type"": ""gain"", ""metric"": ""average_precison""}",0.5274118817870409,"[""funding_rate"", ""weekday"", ""btcdom_high"", ""atr"", ""open"", ""high"", ""btcdom_volume"", ""rsi"", ""low"", ""close"", ""cci"", ""macdhist_prev_4"", ""btcdom_volume_prev_4"", ""low_prev_4"", ""high_prev_12"", ""btcd_volume_prev_24"", ""btcdom_volume_prev_24"", ""btcdom_volume_prev_28"", ""btcdom_volume_prev_32"", ""btcdom_volume_prev_36"", ""stoch_diff_prev_36"", ""btcdom_volume_prev_40"", ""btcdom_volume_prev_44"", ""close_prev_44"", ""stoch_diff_prev_48"", ""cci_prev_56"", ""low_prev_56"", ""high_prev_56"", ""btcdom_volume_prev_68"", ""fng_value_prev_72"", ""btcd_volume_prev_72"", ""btcdom_volume_prev_72"", ""stoch_diff_prev_72"", ""btcdom_volume_prev_80"", ""btcdom_volume_prev_84"", ""cci_prev_84"", ""close_prev_88"", ""btcdom_volume_prev_92"", ""fng_value_prev_96"", ""btcdom_volume_prev_100"", ""fng_value_prev_120"", ""stoch_slowd_prev_128"", ""btcdom_volume_prev_132"", ""btcdom_volume_prev_136"", ""btcdom_volume_prev_148"", ""rsi_prev_148"", ""btcdom_volume_prev_164"", ""fng_value_prev_168"", ""cci_prev_184"", ""btcdom_volume_prev_188"", ""btcdom_volume_prev_192"", ""fng_value_prev_192"", ""btcdom_volume_prev_196"", ""btcdom_volume_prev_208"", ""stoch_diff_prev_212"", ""btcd_volume_prev_216"", ""btcdom_volume_prev_216"", ""stoch_slowd_prev_224"", ""stoch_diff_prev_232"", ""fng_value_prev_240"", ""btcd_high_prev_240"", ""btcdom_volume_prev_244"", ""btcdom_volume_prev_256"", ""rsi_prev_256"", ""stoch_diff_prev_260"", ""fng_value_prev_264"", ""btcdom_volume_prev_272""]",6250,1472,"[14900.0, 20850.000000000007, 13300.000000000004, 8750.000000000004, 15800.0]"
2026-06-13T12:19,"{""boosting_type"": ""dart"", ""class_weight"": ""balanced"", ""colsample_bytree"": 0.8394998594626718, ""is_unbalance"": true, ""learning_rate"": 0.1654394619617755, ""max_bin"": 167, ""max_depth"": 4, ""n_estimators"": 2518, ""num_leaves"": 248, ""reg_alpha"": 0.8032956889314465, ""reg_lambda"": 0.0008267673567104, ""subsample"": 0.773102643411765, ""objective"": ""binary"", ""verbosity"": -1, ""subsample_freq"": 1, ""importance_type"": ""gain"", ""metric"": ""average_precison""}",0.5274118817870409,"[""funding_rate"", ""weekday"", ""btcdom_high"", ""atr"", ""open"", ""high"", ""btcdom_volume"", ""rsi"", ""low"", ""close"", ""cci"", ""macdhist_prev_4"", ""btcdom_volume_prev_4"", ""low_prev_4"", ""high_prev_12"", ""btcd_volume_prev_24"", ""btcdom_volume_prev_24"", ""btcdom_volume_prev_28"", ""btcdom_volume_prev_32"", ""btcdom_volume_prev_36"", ""stoch_diff_prev_36"", ""btcdom_volume_prev_40"", ""btcdom_volume_prev_44"", ""close_prev_44"", ""stoch_diff_prev_48"", ""cci_prev_56"", ""low_prev_56"", ""high_prev_56"", ""btcdom_volume_prev_68"", ""fng_value_prev_72"", ""btcd_volume_prev_72"", ""btcdom_volume_prev_72"", ""stoch_diff_prev_72"", ""btcdom_volume_prev_80"", ""btcdom_volume_prev_84"", ""cci_prev_84"", ""close_prev_88"", ""btcdom_volume_prev_92"", ""fng_value_prev_96"", ""btcdom_volume_prev_100"", ""fng_value_prev_120"", ""stoch_slowd_prev_128"", ""btcdom_volume_prev_132"", ""btcdom_volume_prev_136"", ""btcdom_volume_prev_148"", ""rsi_prev_148"", ""btcdom_volume_prev_164"", ""fng_value_prev_168"", ""cci_prev_184"", ""btcdom_volume_prev_188"", ""btcdom_volume_prev_192"", ""fng_value_prev_192"", ""btcdom_volume_prev_196"", ""btcdom_volume_prev_208"", ""stoch_diff_prev_212"", ""btcd_volume_prev_216"", ""btcdom_volume_prev_216"", ""stoch_slowd_prev_224"", ""stoch_diff_prev_232"", ""fng_value_prev_240"", ""btcd_high_prev_240"", ""btcdom_volume_prev_244"", ""btcdom_volume_prev_256"", ""rsi_prev_256"", ""stoch_diff_prev_260"", ""fng_value_prev_264"", ""btcdom_volume_prev_272"", ""month""]",5824,1392,"[19500.000000000004, 21349.999999999996, 6900.000000000002, 6750.000000000002, 15100.000000000004]"
2026-06-13T12:24,"{""boosting_type"": ""dart"", ""class_weight"": ""balanced"", ""colsample_bytree"": 0.8394998594626718, ""is_unbalance"": true, ""learning_rate"": 0.1654394619617755, ""max_bin"": 167, ""max_depth"": 4, ""n_estimators"": 2518, ""num_leaves"": 248, ""reg_alpha"": 0.8032956889314465, ""reg_lambda"": 0.0008267673567104, ""subsample"": 0.773102643411765, ""objective"": ""binary"", ""verbosity"": -1, ""subsample_freq"": 1, ""importance_type"": ""gain"", ""metric"": ""average_precison""}",0.5274118817870409,"[""funding_rate"", ""weekday"", ""btcdom_high"", ""atr"", ""open"", ""high"", ""btcdom_volume"", ""rsi"", ""low"", ""close"", ""cci"", ""macdhist_prev_4"", ""btcdom_volume_prev_4"", ""low_prev_4"", ""high_prev_12"", ""btcd_volume_prev_24"", ""btcdom_volume_prev_24"", ""btcdom_volume_prev_28"", ""btcdom_volume_prev_32"", ""btcdom_volume_prev_36"", ""stoch_diff_prev_36"", ""btcdom_volume_prev_40"", ""btcdom_volume_prev_44"", ""close_prev_44"", ""stoch_diff_prev_48"", ""cci_prev_56"", ""low_prev_56"", ""high_prev_56"", ""btcdom_volume_prev_68"", ""fng_value_prev_72"", ""btcd_volume_prev_72"", ""btcdom_volume_prev_72"", ""stoch_diff_prev_72"", ""btcdom_volume_prev_80"", ""btcdom_volume_prev_84"", ""cci_prev_84"", ""close_prev_88"", ""btcdom_volume_prev_92"", ""fng_value_prev_96"", ""btcdom_volume_prev_100"", ""fng_value_prev_120"", ""stoch_slowd_prev_128"", ""btcdom_volume_prev_132"", ""btcdom_volume_prev_136"", ""btcdom_volume_prev_148"", ""rsi_prev_148"", ""btcdom_volume_prev_164"", ""fng_value_prev_168"", ""cci_prev_184"", ""btcdom_volume_prev_188"", ""btcdom_volume_prev_192"", ""fng_value_prev_192"", ""btcdom_volume_prev_196"", ""btcdom_volume_prev_208"", ""stoch_diff_prev_212"", ""btcd_volume_prev_216"", ""btcdom_volume_prev_216"", ""stoch_slowd_prev_224"", ""stoch_diff_prev_232"", ""fng_value_prev_240"", ""btcd_high_prev_240"", ""btcdom_volume_prev_244"", ""btcdom_volume_prev_256"", ""rsi_prev_256"", ""stoch_diff_prev_260"", ""fng_value_prev_264"", ""btcdom_volume_prev_272"", ""fng_value""]",6001,1397,"[16149.999999999995, 22500.000000000007, 7949.999999999998, 4800.000000000001, 18450.0]"
2026-06-13T12:27,"{""boosting_type"": ""dart"", ""class_weight"": ""balanced"", ""colsample_bytree"": 0.8394998594626718, ""is_unbalance"": true, ""learning_rate"": 0.1654394619617755, ""max_bin"": 167, ""max_depth"": 4, ""n_estimators"": 2518, ""num_leaves"": 248, ""reg_alpha"": 0.8032956889314465, ""reg_lambda"": 0.0008267673567104, ""subsample"": 0.773102643411765, ""objective"": ""binary"", ""verbosity"": -1, ""subsample_freq"": 1, ""importance_type"": ""gain"", ""metric"": ""average_precison""}",0.5274118817870409,"[""funding_rate"", ""btcdom_high"", ""atr"", ""open"", ""high"", ""btcdom_volume"", ""rsi"", ""low"", ""close"", ""cci"", ""macdhist_prev_4"", ""btcdom_volume_prev_4"", ""low_prev_4"", ""high_prev_12"", ""btcd_volume_prev_24"", ""btcdom_volume_prev_24"", ""btcdom_volume_prev_28"", ""btcdom_volume_prev_32"", ""btcdom_volume_prev_36"", ""stoch_diff_prev_36"", ""btcdom_volume_prev_40"", ""btcdom_volume_prev_44"", ""close_prev_44"", ""stoch_diff_prev_48"", ""cci_prev_56"", ""low_prev_56"", ""high_prev_56"", ""btcdom_volume_prev_68"", ""fng_value_prev_72"", ""btcd_volume_prev_72"", ""btcdom_volume_prev_72"", ""stoch_diff_prev_72"", ""btcdom_volume_prev_80"", ""btcdom_volume_prev_84"", ""cci_prev_84"", ""close_prev_88"", ""btcdom_volume_prev_92"", ""fng_value_prev_96"", ""btcdom_volume_prev_100"", ""fng_value_prev_120"", ""stoch_slowd_prev_128"", ""btcdom_volume_prev_132"", ""btcdom_volume_prev_136"", ""btcdom_volume_prev_148"", ""rsi_prev_148"", ""btcdom_volume_prev_164"", ""fng_value_prev_168"", ""cci_prev_184"", ""btcdom_volume_prev_188"", ""btcdom_volume_prev_192"", ""fng_value_prev_192"", ""btcdom_volume_prev_196"", ""btcdom_volume_prev_208"", ""stoch_diff_prev_212"", ""btcd_volume_prev_216"", ""btcdom_volume_prev_216"", ""stoch_slowd_prev_224"", ""stoch_diff_prev_232"", ""fng_value_prev_240"", ""btcd_high_prev_240"", ""btcdom_volume_prev_244"", ""btcdom_volume_prev_256"", ""rsi_prev_256"", ""stoch_diff_prev_260"", ""fng_value_prev_264"", ""btcdom_volume_prev_272""]",5811,1431,"[12700.00000000001, 28700.000000000007, 10850.000000000002, 5749.999999999999, 13550.0]"
2026-06-13T12:31,"{""boosting_type"": ""dart"", ""class_weight"": ""balanced"", ""colsample_bytree"": 0.8394998594626718, ""is_unbalance"": true, ""learning_rate"": 0.1654394619617755, ""max_bin"": 167, ""max_depth"": 4, ""n_estimators"": 2518, ""num_leaves"": 248, ""reg_alpha"": 0.8032956889314465, ""reg_lambda"": 0.0008267673567104, ""subsample"": 0.773102643411765, ""objective"": ""binary"", ""verbosity"": -1, ""subsample_freq"": 1, ""importance_type"": ""gain"", ""metric"": ""average_precison""}",0.5274118817870409,"[""funding_rate"", ""weekday"", ""btcdom_high"", ""atr"", ""open"", ""high"", ""btcdom_volume"", ""rsi"", ""low"", ""close"", ""cci"", ""macdhist_prev_4"", ""btcdom_volume_prev_4"", ""low_prev_4"", ""high_prev_12"", ""btcd_volume_prev_24"", ""btcdom_volume_prev_24"", ""btcdom_volume_prev_28"", ""btcdom_volume_prev_32"", ""btcdom_volume_prev_36"", ""stoch_diff_prev_36"", ""btcdom_volume_prev_40"", ""btcdom_volume_prev_44"", ""close_prev_44"", ""stoch_diff_prev_48"", ""cci_prev_56"", ""low_prev_56"", ""high_prev_56"", ""btcdom_volume_prev_68"", ""fng_value_prev_72"", ""btcd_volume_prev_72"", ""btcdom_volume_prev_72"", ""stoch_diff_prev_72"", ""btcdom_volume_prev_80"", ""btcdom_volume_prev_84"", ""cci_prev_84"", ""close_prev_88"", ""btcdom_volume_prev_92"", ""fng_value_prev_96"", ""btcdom_volume_prev_100"", ""fng_value_prev_120"", ""stoch_slowd_prev_128"", ""btcdom_volume_prev_132"", ""btcdom_volume_prev_136"", ""btcdom_volume_prev_148"", ""rsi_prev_148"", ""btcdom_volume_prev_164"", ""fng_value_prev_168"", ""cci_prev_184"", ""btcdom_volume_prev_188"", ""btcdom_volume_prev_192"", ""fng_value_prev_192"", ""btcdom_volume_prev_196"", ""btcdom_volume_prev_208"", ""stoch_diff_prev_212"", ""btcd_volume_prev_216"", ""btcdom_volume_prev_216"", ""stoch_slowd_prev_224"", ""stoch_diff_prev_232"", ""fng_value_prev_240"", ""btcd_high_prev_240"", ""btcdom_volume_prev_244"", ""btcdom_volume_prev_256"", ""rsi_prev_256"", ""stoch_diff_prev_260"", ""fng_value_prev_264"", ""btcdom_volume_prev_272""]",6250,1472,"[14900.0, 20850.000000000007, 13300.000000000004, 8750.000000000004, 15800.0]"
2026-06-16T13:17,"{""boosting_type"": ""dart"", ""class_weight"": ""balanced"", ""colsample_bytree"": 0.8394998594626718, ""is_unbalance"": true, ""learning_rate"": 0.1654394619617755, ""max_bin"": 167, ""max_depth"": 4, ""n_estimators"": 2518, ""num_leaves"": 248, ""reg_alpha"": 0.8032956889314465, ""reg_lambda"": 0.0008267673567104, ""subsample"": 0.773102643411765, ""objective"": ""binary"", ""verbosity"": -1, ""subsample_freq"": 1, ""importance_type"": ""gain"", ""metric"": ""average_precison""}",0.5274118817870409,"[""funding_rate"", ""weekday"", ""btcdom_high"", ""atr"", ""open"", ""high"", ""btcdom_volume"", ""rsi"", ""low"", ""close"", ""cci"", ""macdhist_prev_4"", ""btcdom_volume_prev_4"", ""low_prev_4"", ""high_prev_12"", ""btcd_volume_prev_24"", ""btcdom_volume_prev_24"", ""btcdom_volume_prev_28"", ""btcdom_volume_prev_32"", ""btcdom_volume_prev_36"", ""stoch_diff_prev_36"", ""btcdom_volume_prev_40"", ""btcdom_volume_prev_44"", ""close_prev_44"", ""stoch_diff_prev_48"", ""cci_prev_56"", ""low_prev_56"", ""high_prev_56"", ""btcdom_volume_prev_68"", ""fng_value_prev_72"", ""btcd_volume_prev_72"", ""btcdom_volume_prev_72"", ""stoch_diff_prev_72"", ""btcdom_volume_prev_80"", ""btcdom_volume_prev_84"", ""cci_prev_84"", ""close_prev_88"", ""btcdom_volume_prev_92"", ""fng_value_prev_96"", ""btcdom_volume_prev_100"", ""fng_value_prev_120"", ""stoch_slowd_prev_128"", ""btcdom_volume_prev_132"", ""btcdom_volume_prev_136"", ""btcdom_volume_prev_148"", ""rsi_prev_148"", ""btcdom_volume_prev_164"", ""fng_value_prev_168"", ""cci_prev_184"", ""btcdom_volume_prev_188"", ""btcdom_volume_prev_192"", ""fng_value_prev_192"", ""btcdom_volume_prev_196"", ""btcdom_volume_prev_208"", ""stoch_diff_prev_212"", ""btcd_volume_prev_216"", ""btcdom_volume_prev_216"", ""stoch_slowd_prev_224"", ""stoch_diff_prev_232"", ""fng_value_prev_240"", ""btcd_high_prev_240"", ""btcdom_volume_prev_244"", ""btcdom_volume_prev_256"", ""rsi_prev_256"", ""stoch_diff_prev_260"", ""fng_value_prev_264"", ""btcdom_volume_prev_272""]",6292,1394,"[11999.999999999995, 27450.0, 2749.999999999998, 12150.000000000005, 15350.000000000004]"
