value,oof_conf_score,profit_objects,oof_val_score,oof_conf_obj_num,oof_conf_obj_pct,total_conf_score,values,total_conf_obj_num
-10539.999999999947,,598,,,,0.5554525222551929,"[-3804.9999999999955, -8949.999999999996, -8024.999999999998, 1282.500000000001, 522.5, 6590.000000000002, -1127.5, 3057.5000000000023, 9725.0, -9809.999999999996]",5392.0
-19804.99999999995,,404,,,,0.537870266216723,"[-2249.9999999999964, -8399.999999999998, -6729.999999999998, -2847.4999999999986, -354.99999999999955, 4072.5, -9699.999999999996, 3512.5000000000023, 6850.0, -3957.4999999999945]",5334.0
-22084.99999999994,,590,,,,0.5428903751090434,"[-3294.999999999994, -11244.999999999993, -9922.499999999998, -3002.499999999997, 767.5000000000061, 4732.5000000000055, -7414.999999999998, 6567.500000000004, 7477.500000000004, -6749.999999999995]",6878.0
-10486.53981196312,,-72,,,,0.4538461538461538,"[117.50000000000026, -3987.4999999999964, -0.0, 27.500000000000004, 85.00000000000001, 42.50000000000001, 212.5, 662.5, -229.99999999999997, -6380.0]",780.0
-2141.712564061647,,6,,,,0.8,"[112.50000000000004, 112.50000000000004, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]",10.0
-1901.7911424096328,,31,,,,0.5803108808290155,"[47.50000000000003, -454.99999999999955, -0.0, -0.0, -57.49999999999999, 612.5000000000003, 12.50000000000001, -0.0, -0.0, -57.49999999999999]",193.0
-15717.499999999993,,341,,,,0.5390249485008011,"[-2719.999999999994, -8939.999999999995, -7627.499999999996, -1957.4999999999993, 1295.000000000003, 892.500000000002, -2842.4999999999977, 3174.9999999999995, 5752.500000000002, -2744.9999999999986]",4369.0
-1715.5227854080692,,0,,,,0.0,"[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]",0.0
-0.0,,0,,,,0.0,"[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]",0.0
-5392.499999999996,,-15,,,,0.4878836833602585,"[210.00000000000006, -5602.499999999996, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]",619.0
2481.8878237893027,,489,,,,0.6086183918258552,"[907.5000000000011, -6879.999999999997, -72.49999999999999, 1392.5000000000002, 1595.0000000000007, 3835.000000000001, -554.9999999999999, 2860.000000000001, 11965.0, -7480.0]",2251.0
